Wonder,0,8,13,128
Akron Blue,0,8,13,128
East Coast Cavaliers,0,8,13,128
Scotts Tots,0,8,8,128
The Squeeze,0,8,7,128
Wristhax Gaming,0,8,6,128
NorthBound,0,8,6,128
R3TRIBUTI0N,0,8,5,128
Executus,0,8,5,128
SaveTheChickens,0,8,2,128
Shock the Nation,0,8,2,128
PURSUIT,0,8,1,128
Juug and Juice,0,8,1,128
Zero Eff0rt,0,10,23,160
Merc Troop Academy,0,10,22,160
Team Virtuoso,0,10,21,160
True high control,0,10,13,160
no-way,0,10,10,160
Amped Up,0,10,7,160
xHandsXDownx,0,10,0,160
Illusionary Gaming,0,12,46,192
